act,hl,nodes,early_stopping,max_epochs,bs,dropout,accuracy,accuracyTest
relu,4,1,True,200,10,1,0.79793781042099,0.7951231002807617
relu,4,1,True,200,10,2,0.7805439233779907,0.7793449759483337
relu,4,1,True,200,50,1,0.8092947006225586,0.8055223226547241
relu,4,1,True,200,50,2,0.790436327457428,0.7855606079101562
relu,4,1,True,200,100,1,0.8095039129257202,0.8056418895721436
relu,4,1,True,200,100,2,0.7972205877304077,0.7926129698753357
relu,4,1,True,200,500,1,0.8106096982955933,0.8064786195755005
relu,4,1,True,200,500,2,0.8000896573066711,0.7971551418304443
