act,hl,nodes,early_stopping,max_epochs,bs,dropout,accuracy,accuracyTest
relu,4,1,True,30,500,1,0.8024507164955139,0.7935692071914673
relu,4,1,False,30,500,1,0.7977585196495056,0.7873535752296448
relu,4,1,True,100,500,1,0.8102510571479797,0.8005020022392273
relu,4,1,False,100,500,1,0.8146742582321167,0.8008606433868408
relu,4,1,True,200,500,1,0.8155110478401184,0.8020559549331665
relu,4,1,False,200,500,1,0.8155409693717957,0.8034903407096863
relu,4,1,True,500,500,1,0.813418984413147,0.8008606433868408
relu,4,1,False,500,500,1,0.8177525401115417,0.8024145364761353
